<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20.11.17;150.5100000;152.4400000;149.9200000;151.8700000;494090
27.11.17;152.2100000;155.0100000;151.6200000;154.7100000;912554
04.12.17;155.6700000;156.7900000;153.2800000;154.8200000;698302
11.12.17;154.9500000;157.8500000;152.0500000;152.4900000;974390
18.12.17;153.3900000;154.1700000;151.4900000;152.5300000;679553
25.12.17;152.7100000;154.6500000;152.5100000;153.4500000;283847
01.01.18;154.5000000;162.8700000;153.5700000;162.4700000;845288
08.01.18;162.8500000;164.8800000;161.7200000;163.1400000;786556
15.01.18;165.1800000;171.1100000;161.3100000;162.3800000;1894837
22.01.18;161.4700000;168.7000000;161.1400000;167.3100000;1067632
29.01.18;167.2000000;168.3400000;158.8700000;158.9400000;825035
05.02.18;158.1000000;158.3700000;144.4100000;149.5100000;1894520
12.02.18;150.8100000;157.7600000;149.6500000;156.1600000;1061771
19.02.18;155.5000000;156.7800000;152.7900000;155.5200000;774802
26.02.18;155.9900000;159.7700000;151.9600000;154.4700000;1122483
05.03.18;154.1100000;159.5800000;153.7500000;159.3300000;1553670
12.03.18;159.8800000;162.1000000;157.7600000;160.2700000;1388368
19.03.18;159.7000000;159.8500000;148.5700000;148.9950000;1496975
26.03.18;151.0100000;154.8500000;150.2800000;153.4600000;1136706
02.04.18;152.9000000;154.9000000;147.4600000;150.5700000;1625703
09.04.18;152.0500000;159.2000000;151.8300000;156.7400000;1486370
16.04.18;158.1700000;161.9800000;144.5400000;144.9400000;3056815
23.04.18;145.1000000;147.3600000;144.1200000;146.4500000;1577751
30.04.18;147.1000000;147.2700000;139.9100000;143.8900000;1452422
07.05.18;144.2700000;144.8400000;141.2800000;144.1400000;1326030
14.05.18;144.5200000;145.1900000;142.9500000;144.0500000;994103
21.05.18;144.9400000;146.2000000;142.9600000;143.6600000;890968
28.05.18;142.5200000;143.0900000;140.2100000;141.9700000;1312882
04.06.18;142.2700000;146.6700000;142.2700000;146.1300000;1061929
11.06.18;146.6700000;147.5200000;143.7100000;145.4000000;896117
18.06.18;143.9100000;144.5100000;140.7900000;141.2500000;900072
25.06.18;140.2800000;141.3000000;137.4800000;139.7200000;1429745
02.07.18;138.2800000;142.9300000;138.2800000;142.4500000;672071
09.07.18;142.6300000;146.9500000;142.5600000;145.9000000;1131062
16.07.18;145.7000000;150.5400000;142.7600000;146.3500000;2033227
23.07.18;146.2200000;149.2500000;144.6800000;145.1500000;1166878
30.07.18;144.8800000;147.9200000;142.3400000;147.7100000;1520034
06.08.18;146.8600000;147.6300000;143.8800000;144.5200000;889428
13.08.18;144.1500000;146.3800000;142.1600000;146.0300000;968673
20.08.18;146.3800000;147.1500000;144.7500000;146.0500000;625619
27.08.18;146.7500000;147.9100000;145.2700000;146.4600000;789729
03.09.18;146.1300000;147.6200000;144.8300000;145.4400000;769174
10.09.18;146.3100000;149.2700000;145.2700000;148.3200000;1085231
17.09.18;148.4900000;152.5900000;147.4800000;151.2900000;1289942
24.09.18;151.1800000;153.3400000;148.3900000;151.2000000;1092071
01.10.18;151.9300000;154.3300000;147.8900000;149.0700000;933488
08.10.18;148.5000000;149.0500000;138.7800000;140.8200000;1533003
15.10.18;140.6000000;145.4300000;127.9900000;129.1000000;3230612
22.10.18;129.7300000;131.9000000;123.7100000;124.7800000;2429228
29.10.18;119.4200000;123.8900000;114.1000000;115.6700000;5914756
05.11.18;116.1300000;125.0600000;116.0400000;123.5300000;1963083
12.11.18;123.2400000;123.2800000;119.5600000;121.5700000;1294034
19.11.18;121.7100000;122.1800000;116.7000000;117.1700000;1389851
26.11.18;118.3100000;124.6700000;118.0800000;124.2500000;1501570
03.12.18;125.1700000;126.5700000;118.8800000;119.3500000;2020705
10.12.18;119.6800000;123.8100000;118.5550000;119.9300000;1520903
17.12.18;119.2200000;120.2600000;110.4400000;110.9400000;2330895
24.12.18;109.8700000;114.7500000;106.0000000;113.0250000;814900
31.12.18;113.5800000;117.4900000;111.6900000;117.2900000;603971
07.01.19;117.4600000;121.8500000;116.7100000;121.4600000;929376
14.01.19;120.5000000;124.7100000;119.8400000;123.8400000;1322208
21.01.19;123.1800000;134.9900000;121.5600000;133.9600000;2572373
28.01.19;133.3800000;135.4100000;132.5900000;134.1000000;892720
04.02.19;133.5500000;136.6400000;132.1200000;133.6200000;809866
11.02.19;134.1100000;138.1800000;134.0000000;138.0500000;832749
18.02.19;137.7000000;139.3600000;137.2500000;139.2800000;538618
25.02.19;140.0000000;140.4600000;137.7300000;139.1900000;653900
04.03.19;139.8100000;140.0400000;133.6800000;135.0700000;714858
11.03.19;136.2400000;140.3000000;135.9200000;139.4250000;569708
18.03.19;139.9600000;142.1100000;138.7400000;139.4700000;792911
25.03.19;138.9100000;141.2100000;138.3600000;141.1000000;589888
01.04.19;141.7600000;144.2100000;141.5700000;143.3100000;601121
08.04.19;143.1700000;144.4400000;141.8500000;144.3700000;650584
15.04.19;144.4000000;145.3700000;136.3200000;140.3300000;1409215
22.04.19;139.7600000;141.2900000;137.7300000;139.4300000;754270
29.04.19;139.2000000;141.8000000;138.7200000;140.3100000;553898
06.05.19;138.1500000;140.6900000;132.4400000;135.3200000;730004
13.05.19;133.0700000;136.0700000;131.0000000;134.3000000;602942
20.05.19;133.6000000;137.0500000;130.4600000;132.3100000;646847
27.05.19;131.9700000;132.6100000;126.8500000;126.9900000;569132
03.06.19;127.1900000;134.6900000;127.0800000;133.3300000;710117
10.06.19;134.0200000;136.4400000;134.0200000;135.1950000;656011
17.06.19;135.4000000;139.5400000;134.7100000;139.1800000;635478
24.06.19;139.5200000;140.1300000;137.8600000;137.9300000;612980
01.07.19;139.5700000;141.8200000;139.4400000;141.3800000;523334
08.07.19;141.1100000;142.9200000;139.1400000;142.6900000;728348
15.07.19;142.7700000;151.5800000;141.9600000;149.7800000;1707627
22.07.19;150.2300000;151.9400000;148.3800000;151.3600000;1029809
29.07.19;151.1100000;152.9000000;145.6400000;147.2700000;1558307
05.08.19;144.7600000;145.1000000;135.3600000;136.0600000;1968351
12.08.19;135.6800000;136.5700000;130.3000000;133.7600000;938647
19.08.19;135.0000000;136.3100000;128.8400000;129.4700000;816065
26.08.19;130.8900000;136.0400000;129.2800000;135.4900000;841040
02.09.19;134.7500000;141.6900000;133.3400000;140.5800000;724921
09.09.19;140.5500000;145.4600000;140.4700000;143.7400000;1337370
16.09.19;142.6400000;145.0300000;140.5300000;141.8300000;785013
23.09.19;141.0300000;145.0200000;140.6100000;143.2300000;602834
30.09.19;143.9700000;147.3500000;139.2800000;142.9700000;1026558
07.10.19;142.3500000;144.4700000;138.2600000;142.6500000;630306
14.10.19;142.1050000;143.7100000;132.2700000;134.1800000;2119837
21.10.19;132.6900000;135.9100000;130.9000000;135.5400000;1110701
28.10.19;135.8600000;136.6100000;133.2300000;135.4900000;924309
04.11.19;136.5000000;139.1200000;136.2200000;137.6100000;760588
11.11.19;137.0200000;137.0800000;133.3500000;134.2800000;961791
18.11.19;134.3000000;135.3800000;132.7700000;134.3200000;676052
25.11.19;134.3900000;135.9800000;133.0300000;134.4700000;660379
02.12.19;134.4000000;134.4300000;130.7000000;133.2200000;1176232
09.12.19;133.5600000;134.8200000;133.5000000;134.1800000;481196
